ID,peak_hour,average_energy,Class
MAC000517,13.0000,6.3500,3
MAC000545,19.0000,8.0500,0
MAC000630,13.0000,15.5500,1
MAC000689,18.5000,15.3200,6
MAC000744,9.0000,7.2000,3
MAC000798,10.5000,3.2000,3
MAC001140,11.5000,6.9300,3
MAC001313,19.5000,6.9000,5
MAC001371,17.5000,16.9200,6
MAC001395,7.5000,25.8000,2
MAC001401,22.5000,7.4400,5
MAC001465,7.5000,13.6600,1
MAC001488,20.0000,8.9500,0
MAC001544,10.5000,22.0600,2
MAC001553,17.5000,4.5200,5
MAC001579,18.5000,23.9800,4
MAC001652,22.5000,6.7100,5
MAC001661,19.5000,23.7900,4
MAC001664,19.5000,19.2800,4
MAC001695,6.5000,4.7300,3
MAC001958,23.0000,5.6400,5
MAC001988,9.5000,8.0600,3
MAC002015,17.5000,10.3800,0
MAC002070,17.0000,14.4300,6
MAC002296,11.5000,17.6100,1
MAC002503,23.5000,10.8900,0
MAC002604,17.5000,20.1500,4
MAC002829,19.0000,10.9400,0
MAC003033,18.5000,15.4100,6
MAC003366,21.0000,4.7900,5
MAC003434,11.5000,3.7300,3
MAC003736,16.0000,9.8100,0
MAC003745,21.0000,10.1900,0
MAC003762,19.5000,13.4300,6
MAC003766,21.0000,12.2500,0
MAC003782,18.0000,14.6400,6
MAC003804,7.0000,14.7000,1
MAC003843,18.5000,13.1900,6
MAC003889,19.0000,11.2000,0
MAC003901,19.0000,8.6700,0
MAC003914,19.0000,27.7900,4
MAC004509,20.0000,11.1200,0
MAC004825,14.5000,5.8400,3
MAC004848,17.0000,7.0600,0
MAC004910,17.0000,8.1200,0
MAC005066,18.0000,7.8100,0
MAC005112,18.5000,3.5600,5
MAC005320,19.5000,16.9600,6
MAC005489,17.5000,9.1600,0
MAC005550,18.0000,8.3700,0
