ID,,peak_hour,average_energy,Class
MAC000002,20.0000,11.4900,5
MAC000246,21.5000,21.8100,1
MAC000450,16.5000,102.4400,3
MAC001074,18.5000,26.4700,1
MAC003223,9.0000,20.8400,4
MAC003239,19.0000,10.2500,5
MAC003252,18.5000,12.6000,5
MAC003281,6.5000,11.9200,4
MAC003305,20.0000,14.4500,5
MAC003388,19.5000,28.3900,1
MAC003394,18.0000,31.5300,0
MAC003400,22.5000,12.5100,5
MAC003422,22.5000,0.9300,2
MAC003423,20.5000,17.0600,5
MAC003428,19.0000,28.9900,1
MAC003449,19.0000,62.9000,6
MAC003463,18.0000,15.5400,5
MAC003482,18.5000,13.9100,5
MAC003553,6.0000,17.7400,4
MAC003557,19.5000,9.1900,5
MAC003566,18.5000,29.2800,1
MAC003579,22.5000,11.1000,5
MAC003597,18.5000,31.8100,0
MAC003613,20.0000,32.4300,0
MAC003646,21.5000,13.4300,5
MAC003656,8.5000,19.2000,4
MAC003668,20.0000,38.0700,0
MAC003680,17.0000,17.7100,5
MAC003686,22.0000,12.4600,5
MAC003718,23.5000,11.6500,5
MAC003719,18.5000,14.8900,5
MAC003737,17.5000,9.3900,5
MAC003740,16.5000,4.8100,2
MAC003775,18.5000,36.1300,0
MAC003805,19.5000,12.6300,5
MAC003817,22.5000,23.6100,1
MAC003826,20.5000,10.0300,5
MAC003844,17.0000,11.5900,5
MAC003851,18.5000,15.9300,5
MAC003856,18.0000,35.5000,0
MAC003863,9.5000,13.7000,4
MAC003874,19.0000,12.3000,5
MAC004034,9.5000,12.5000,4
MAC004179,19.0000,119.1400,3
MAC004247,19.0000,25.8500,1
MAC004319,22.0000,46.9800,6
MAC004387,17.0000,4.5400,2
MAC004431,19.5000,22.6600,1
MAC005492,9.0000,8.5500,4
