ID,peak_hour,average_energy,Class
MAC000030,17.0000,11.5900,3
MAC000040,19.5000,25.6700,0
MAC000103,19.0000,20.2500,4
MAC000110,20.5000,16.0000,4
MAC000112,11.5000,13.9800,1
MAC000339,13.0000,14.8900,1
MAC000464,9.5000,5.5500,1
MAC000487,19.0000,15.5500,4
MAC000593,20.5000,9.2100,3
MAC000609,18.5000,8.5300,3
MAC000797,17.5000,11.2500,3
MAC001736,18.5000,33.0100,6
MAC001819,21.0000,12.2900,3
MAC001836,21.5000,39.5400,5
MAC002113,18.0000,7.6300,3
MAC002134,20.5000,11.7200,3
MAC002199,19.0000,16.4000,4
MAC002260,19.0000,25.6000,0
MAC002552,9.5000,11.6800,1
MAC002959,19.5000,31.9800,6
MAC003196,19.0000,9.7500,3
MAC003257,18.5000,46.4100,5
MAC003286,10.5000,12.3900,1
MAC003474,17.5000,11.4500,3
MAC003536,18.0000,12.8600,3
MAC003606,22.0000,16.8500,4
MAC003634,19.0000,35.2700,6
MAC003683,18.0000,10.6700,3
MAC003807,21.0000,34.9700,6
MAC003895,22.0000,20.5400,4
MAC004054,17.5000,34.1100,6
MAC004258,19.5000,16.6600,4
MAC004374,20.0000,49.5100,5
MAC004436,20.0000,5.1700,3
MAC004554,18.5000,11.5500,3
MAC004713,19.0000,19.4100,4
MAC004789,22.5000,7.8200,3
MAC004872,19.5000,15.2500,4
MAC004900,19.0000,31.3100,6
MAC004988,19.5000,15.6300,4
MAC004997,18.0000,26.1200,0
MAC005042,21.5000,11.9700,3
MAC005062,18.5000,7.6600,3
MAC005160,20.5000,13.7100,4
MAC005283,22.0000,13.8700,4
MAC005406,18.0000,73.2400,2
MAC005421,21.0000,30.5300,6
MAC005468,13.0000,14.2100,1
MAC005523,20.0000,9.3700,3
