ID,peak_hour,average_energy,Class
MAC000323,19.5000,13.5700,1
MAC000379,19.5000,35.3800,2
MAC000386,7.5000,12.0300,5
MAC000535,17.5000,18.8900,3
MAC000557,6.5000,74.3900,4
MAC000569,18.5000,32.2400,2
MAC000713,18.5000,11.7700,1
MAC000768,17.0000,14.6600,1
MAC000778,20.5000,19.0300,3
MAC000816,22.0000,4.7900,6
MAC000850,18.5000,19.5900,3
MAC000886,18.0000,19.5900,3
MAC000902,20.0000,17.0100,1
MAC000948,19.0000,17.4000,1
MAC000974,18.0000,6.7600,6
MAC001145,8.5000,87.8000,4
MAC001239,17.5000,13.6700,1
MAC001251,19.5000,20.6200,3
MAC001271,18.0000,17.2200,1
MAC001510,20.5000,24.9600,3
MAC001528,7.0000,15.6200,5
MAC001533,18.0000,8.2200,6
MAC001628,12.5000,6.4800,6
MAC001689,19.5000,21.7900,3
MAC001710,18.0000,14.6900,1
MAC001734,22.5000,36.5500,2
MAC001776,7.0000,5.6700,5
MAC001843,18.5000,20.2500,3
MAC001893,18.0000,21.8500,3
MAC001989,7.0000,32.7600,0
MAC002025,13.0000,10.9100,5
MAC002068,20.5000,20.8400,3
MAC002150,7.5000,16.5000,5
MAC002249,18.5000,15.4500,1
MAC002314,19.5000,14.6900,1
MAC002562,18.0000,11.7800,1
MAC002563,17.5000,14.9100,1
MAC002601,17.5000,39.2500,2
MAC002628,18.5000,45.7400,2
MAC002813,16.5000,8.6600,6
MAC002924,12.5000,16.0500,5
MAC002937,19.0000,15.3100,1
MAC003072,10.0000,23.8900,0
MAC003110,10.5000,9.5800,5
MAC003166,21.0000,21.9700,3
MAC003182,9.0000,25.3500,0
MAC003212,21.0000,14.9000,1
MAC003840,7.5000,11.6100,5
MAC004529,19.0000,8.4900,6
