ID,peak_hour,average_energy,Class
MAC000299,20.5000,14.0200,5
MAC000300,9.5000,11.5000,1
MAC000302,23.5000,8.4300,0
MAC000304,12.5000,13.7500,5
MAC002564,0.0000,0.6500,1
MAC002567,19.0000,12.8900,5
MAC002570,20.0000,20.2600,2
MAC002590,18.0000,55.9500,3
MAC002597,10.5000,4.6000,1
MAC002598,0.0000,0.3200,1
MAC002603,21.0000,24.0800,2
MAC002608,19.5000,6.6800,0
MAC002611,23.5000,22.9200,2
MAC002615,22.5000,5.4200,0
MAC002616,11.0000,7.6700,1
MAC002617,12.0000,14.4500,5
MAC002620,18.5000,16.4100,5
MAC002621,19.5000,11.8700,5
MAC002623,7.5000,4.2200,1
MAC002626,6.0000,26.0400,4
MAC002635,13.5000,23.6200,2
MAC002636,18.5000,4.4200,0
MAC002648,20.0000,15.0000,5
MAC002719,19.5000,10.5000,5
MAC002735,23.5000,7.2300,0
MAC002737,14.0000,7.4800,0
MAC005277,18.0000,6.1100,0
MAC005286,7.5000,3.1000,1
MAC005294,20.0000,3.4000,0
MAC005295,19.0000,13.2600,5
MAC005296,9.0000,3.7800,1
MAC005297,17.5000,7.4300,0
MAC005299,0.5000,17.3400,4
MAC005300,18.0000,4.6900,0
MAC005301,9.0000,20.1900,2
MAC005302,15.0000,30.2500,2
MAC005304,13.5000,3.3600,0
MAC005307,0.5000,28.5400,4
MAC005309,0.0000,20.4200,4
MAC005353,16.5000,78.0700,6
MAC005355,0.5000,30.7000,4
MAC005356,15.0000,51.3900,3
MAC005358,18.0000,7.2200,0
MAC005360,15.5000,8.6200,0
MAC005362,20.5000,4.9000,0
MAC005365,19.5000,11.9900,5
MAC005373,20.5000,10.1700,5
MAC005375,9.5000,11.5500,1
MAC005383,9.0000,6.0400,1
MAC005387,22.5000,10.4900,5
