ID,peak_hour,average_energy,Class
MAC000155,21.5000,13.7800,2
MAC000326,0.0000,27.4900,4
MAC000442,7.0000,6.4000,3
MAC000455,7.0000,34.1000,4
MAC000503,18.5000,6.4200,5
MAC000814,19.0000,6.7000,5
MAC001116,8.5000,20.8400,0
MAC001166,18.0000,12.6100,2
MAC001232,18.0000,10.2300,5
MAC001255,20.0000,14.2100,2
MAC001258,20.0000,46.3400,6
MAC001359,6.5000,6.7700,3
MAC001803,0.0000,0.8000,3
MAC001897,16.5000,8.0000,5
MAC001956,23.0000,25.8500,1
MAC001964,21.5000,7.7400,5
MAC001980,21.5000,4.5700,5
MAC001999,18.5000,6.3600,5
MAC002109,0.0000,11.0400,3
MAC002138,20.5000,11.9600,2
MAC002741,7.0000,34.0600,4
MAC002751,18.5000,15.4500,2
MAC002779,9.0000,3.7900,3
MAC002805,17.0000,15.7900,2
MAC002812,7.0000,7.9800,3
MAC002820,19.5000,12.7700,2
MAC002885,19.0000,13.8500,2
MAC002891,21.0000,7.1100,5
MAC003958,9.5000,10.4400,3
MAC003987,19.5000,16.9700,2
MAC004006,17.0000,13.2100,2
MAC004007,18.5000,22.7000,1
MAC004026,18.5000,11.9100,2
MAC004051,19.0000,18.9900,2
MAC004070,19.5000,10.9000,2
MAC004075,19.5000,16.2200,2
MAC004111,20.0000,10.8900,2
MAC004242,18.0000,8.2100,5
MAC004276,0.0000,26.6600,4
MAC005134,20.5000,13.1000,2
MAC005184,18.5000,24.7100,1
MAC005244,19.5000,18.1100,2
MAC005249,23.0000,12.2200,2
MAC005252,17.5000,3.9100,5
MAC005254,18.5000,7.8900,5
MAC005261,19.5000,6.3800,5
MAC005273,22.5000,3.8700,5
MAC005275,20.5000,33.0000,1
MAC005316,12.5000,22.4300,0
MAC005318,16.0000,48.0700,6
