ID,peak_hour,average_energy,Class
MAC000312,1.0000,24.5000,3
MAC000325,1.0000,0.2100,5
MAC000497,20.0000,14.4000,2
MAC000500,20.0000,3.6200,4
MAC002008,18.5000,4.4200,4
MAC002016,7.0000,7.3400,0
MAC002210,21.5000,14.7600,2
MAC002370,22.5000,10.8500,6
MAC002374,8.0000,9.7400,0
MAC002378,17.0000,10.7300,6
MAC002381,21.5000,9.6400,6
MAC002390,15.0000,7.3000,6
MAC002394,11.0000,15.2200,0
MAC002399,20.0000,5.2500,4
MAC002407,6.0000,10.8600,0
MAC002434,23.0000,6.7200,4
MAC002477,18.0000,6.3700,4
MAC002478,19.5000,16.8400,2
MAC002479,17.5000,8.9000,6
MAC002492,18.0000,19.3500,2
MAC002494,22.5000,12.1600,2
MAC002495,7.5000,8.3800,0
MAC002498,1.5000,2.0300,5
MAC002499,21.5000,12.9500,2
MAC005268,0.5000,10.7400,5
MAC005417,18.5000,4.1300,4
MAC005418,18.5000,10.2000,6
MAC005419,20.5000,3.5500,4
MAC005420,21.5000,4.5000,4
MAC005446,9.5000,30.3200,3
MAC005447,10.0000,40.6200,1
MAC005454,19.5000,9.5400,6
MAC005455,13.5000,3.4500,4
MAC005457,20.0000,8.0200,6
MAC005459,18.0000,45.2100,1
MAC005462,10.0000,4.8700,0
MAC005469,19.5000,8.8300,6
MAC005479,17.0000,9.7800,6
MAC005491,22.5000,4.5200,4
MAC005496,19.5000,9.2700,6
MAC005497,8.5000,31.7900,3
MAC005502,19.0000,9.8300,6
MAC005505,18.0000,5.4800,4
MAC005521,20.5000,8.3000,6
MAC005526,7.5000,11.6900,0
MAC005531,0.0000,5.0200,5
MAC005532,8.5000,37.6500,1
MAC005539,19.0000,18.6000,2
MAC005552,12.0000,12.0000,0
