ID,peak_hour,average_energy,Class
MAC000050,20.0000,24.3900,4
MAC000063,21.5000,16.8400,4
MAC000073,22.5000,4.0900,0
MAC000084,8.0000,11.8600,5
MAC000193,9.5000,16.1100,5
MAC000194,18.5000,12.0500,0
MAC000289,6.0000,6.7300,5
MAC000317,14.0000,8.2100,5
MAC000632,17.5000,16.4300,4
MAC000647,21.5000,11.3000,0
MAC000692,12.0000,8.1600,5
MAC000737,20.5000,16.7400,4
MAC000741,19.5000,11.9400,0
MAC000776,0.5000,4.6300,5
MAC001098,19.5000,16.2300,4
MAC001135,18.5000,4.7400,0
MAC001370,0.0000,24.1900,1
MAC001425,16.5000,16.9300,4
MAC001612,19.5000,14.1800,4
MAC001614,8.5000,9.2600,5
MAC001656,8.0000,17.9000,1
MAC001691,18.0000,18.5700,4
MAC001766,20.0000,38.5900,6
MAC001768,17.0000,17.5700,4
MAC001825,18.5000,8.4400,0
MAC001826,9.0000,11.1200,5
MAC002155,8.0000,151.9900,3
MAC002157,20.0000,16.6500,4
MAC002170,19.0000,20.3700,4
MAC002218,21.0000,14.9000,4
MAC002233,19.5000,11.4600,0
MAC002335,19.5000,20.8300,4
MAC002497,19.5000,14.0400,4
MAC003018,17.0000,56.2400,2
MAC003022,22.5000,9.5600,0
MAC003063,20.5000,12.7400,0
MAC003502,18.5000,16.8500,4
MAC003709,20.5000,42.8000,6
MAC004385,20.0000,33.4400,6
MAC004386,20.5000,27.3100,6
MAC004389,9.0000,8.3900,5
MAC004409,19.5000,64.2100,2
MAC004628,22.5000,12.6400,0
MAC004637,10.5000,43.2900,2
MAC004714,18.5000,13.5700,4
MAC004814,18.5000,1.9600,0
MAC004990,17.0000,9.3500,0
MAC005370,1.5000,30.9000,1
