ID,peak_hour,average_energy,Class
MAC000005,18.0000,5.0200,4
MAC000017,19.0000,6.0300,4
MAC000598,23.0000,6.2100,4
MAC002797,18.5000,8.2200,4
MAC003061,7.5000,29.8200,2
MAC003231,18.0000,21.0800,6
MAC003235,8.0000,28.5800,2
MAC003260,17.0000,18.4800,6
MAC003275,16.0000,9.9900,0
MAC003278,6.5000,29.4400,2
MAC003283,18.5000,24.2900,6
MAC003287,9.0000,6.7600,3
MAC003288,8.0000,8.3100,3
MAC003299,19.0000,18.0200,6
MAC003313,0.0000,9.4900,3
MAC003584,8.5000,8.4000,3
MAC003639,18.5000,20.2500,6
MAC003642,6.5000,22.8500,5
MAC003731,19.5000,3.0300,4
MAC003748,18.0000,16.6400,6
MAC003755,17.5000,14.6700,0
MAC003776,20.5000,20.1200,6
MAC003787,8.5000,6.7200,3
MAC003907,19.0000,39.8900,1
MAC003912,22.5000,9.5700,4
MAC004029,17.0000,13.1400,0
MAC004040,19.0000,4.0800,4
MAC004108,8.5000,4.4000,3
MAC004249,12.5000,44.3000,1
MAC004336,9.0000,7.7900,3
MAC004367,18.5000,11.3200,0
MAC004369,20.0000,15.0200,0
MAC004406,15.5000,4.7300,4
MAC004415,17.5000,7.5200,4
MAC004447,18.5000,7.7100,4
MAC004455,7.0000,20.2400,5
MAC004504,18.5000,28.0300,6
MAC004585,20.5000,19.3000,6
MAC004664,12.5000,10.1900,0
MAC004673,9.0000,3.8600,3
MAC004712,16.5000,22.1100,6
MAC004750,12.5000,12.1400,0
MAC004925,7.5000,17.6000,5
MAC004989,23.0000,12.3500,0
MAC005028,17.5000,17.6900,6
MAC005490,23.0000,19.1700,6
MAC005506,18.5000,11.0300,0
MAC005509,20.5000,14.7400,0
