ID,peak_hour,average_energy,Class
MAC000048,9.0000,7.2400,3
MAC000064,17.5000,13.0700,5
MAC000075,19.5000,3.1100,1
MAC000076,17.0000,20.9500,0
MAC000082,16.5000,4.7400,1
MAC000141,20.0000,7.6600,1
MAC000165,18.0000,8.6400,5
MAC000173,18.5000,6.8400,1
MAC000315,20.0000,4.3900,1
MAC002317,17.5000,7.0200,1
MAC002319,19.0000,4.3400,1
MAC002321,18.0000,17.0200,0
MAC002322,14.5000,6.1200,1
MAC002326,17.5000,12.4200,5
MAC002330,1.5000,10.6000,4
MAC002333,22.0000,4.1500,1
MAC002338,22.0000,24.4000,0
MAC002340,3.5000,5.1600,4
MAC002341,12.5000,12.9300,3
MAC002343,21.5000,13.6100,5
MAC002355,20.5000,3.9100,1
MAC002359,5.5000,14.5200,3
MAC002360,20.0000,6.8100,1
MAC002361,20.5000,37.3800,6
MAC002907,21.5000,10.7200,5
MAC003603,17.5000,33.6400,6
MAC004458,17.5000,35.4500,6
MAC004463,17.0000,10.7500,5
MAC004468,17.5000,22.5700,0
MAC004470,8.0000,13.8800,3
MAC004471,2.0000,8.0000,4
MAC004473,8.5000,6.9100,3
MAC004474,21.5000,5.1700,1
MAC004476,17.5000,3.3300,1
MAC004477,19.5000,5.9200,1
MAC004480,20.5000,33.8700,6
MAC004482,19.0000,5.5800,1
MAC004487,0.0000,17.8500,2
MAC004496,20.0000,4.2600,1
MAC004500,0.0000,14.7700,2
MAC004510,9.0000,7.9300,3
MAC004511,19.5000,12.0900,5
MAC004512,9.5000,7.5700,3
MAC004517,19.5000,3.7900,1
MAC004518,7.0000,10.5200,3
MAC004519,21.0000,8.6900,5
MAC005263,2.0000,17.2200,2
MAC005267,0.5000,24.8000,2
MAC005555,16.5000,5.2300,1
