ID,peak_hour,average_energy,Class
MAC000095,17.5000,7.9600,1
MAC000320,18.0000,12.8300,6
MAC000521,10.0000,9.8100,0
MAC000523,20.0000,9.3100,6
MAC000525,19.0000,13.7900,6
MAC000544,19.5000,11.4400,6
MAC000561,16.5000,8.5700,1
MAC000628,18.0000,21.7500,2
MAC000633,23.5000,11.0400,6
MAC000640,10.0000,15.6100,4
MAC000665,10.0000,2.3900,0
MAC000666,0.0000,5.5100,3
MAC000672,19.5000,9.5800,6
MAC000673,7.5000,16.7600,4
MAC000738,1.0000,8.3200,3
MAC000755,16.0000,13.0300,6
MAC000766,20.0000,6.5500,1
MAC000772,17.5000,4.9900,1
MAC000775,18.5000,15.6800,2
MAC000785,20.0000,16.7800,2
MAC000791,18.5000,15.7300,2
MAC000817,12.5000,18.3800,4
MAC000819,17.5000,3.9700,1
MAC000822,5.5000,6.1300,3
MAC000994,8.0000,12.4400,4
MAC001004,20.5000,50.4000,5
MAC001013,18.0000,2.8600,1
MAC001995,18.5000,17.9300,2
MAC002078,9.0000,6.9500,0
MAC002082,19.5000,17.3500,2
MAC002091,22.0000,12.4600,6
MAC002096,21.5000,12.9300,6
MAC002100,21.5000,13.6000,6
MAC002112,8.0000,11.9400,4
MAC002114,17.5000,7.8100,1
MAC002145,7.0000,13.9600,4
MAC002158,14.5000,13.2200,6
MAC002160,12.0000,6.1100,0
MAC002162,9.5000,3.0100,0
MAC002165,18.5000,23.0200,2
MAC002171,19.0000,7.8100,1
MAC002172,20.5000,6.5300,1
MAC002179,17.0000,14.6100,6
MAC002180,19.5000,11.2700,6
MAC002184,22.0000,11.7000,6
MAC002187,19.5000,13.4300,6
MAC002200,19.5000,14.3900,6
MAC002202,19.0000,7.2500,1
MAC002203,21.5000,3.4000,1
MAC002204,19.5000,5.0900,1
