ID,peak_hour,average_energy,Class
MAC000306,20.0000,7.7100,3
MAC000307,22.5000,69.0900,1
MAC000308,0.5000,3.3900,4
MAC000681,20.0000,13.3000,5
MAC000709,3.5000,13.4400,2
MAC000716,18.0000,8.2500,3
MAC000719,20.5000,3.3100,3
MAC000722,17.5000,5.4100,3
MAC002120,11.0000,22.6600,0
MAC002121,19.0000,8.8100,3
MAC002125,22.5000,16.4600,5
MAC002130,19.5000,6.4600,3
MAC002133,20.5000,3.3800,3
MAC002135,8.5000,4.1600,4
MAC002141,19.5000,16.3400,5
MAC002142,0.0000,6.7400,4
MAC002143,17.0000,5.4700,3
MAC002244,8.0000,4.4100,4
MAC002372,16.0000,7.7100,3
MAC002504,19.0000,7.4800,3
MAC002571,13.5000,10.0800,5
MAC002573,21.0000,5.6000,3
MAC002581,2.5000,2.8500,4
MAC002583,14.5000,15.5000,5
MAC002584,21.5000,9.3500,3
MAC002587,11.5000,4.7600,4
MAC002588,7.0000,8.8000,2
MAC002641,16.0000,26.9900,6
MAC002644,11.0000,33.9700,6
MAC002691,19.5000,7.4700,3
MAC002693,18.5000,9.3200,3
MAC002697,23.0000,3.2800,3
MAC002724,8.5000,25.0600,0
MAC002729,18.5000,7.6100,3
MAC002740,7.5000,22.7300,0
MAC002744,18.5000,0.8200,3
MAC005282,0.0000,10.1100,2
MAC005285,20.5000,6.8400,3
MAC005293,8.5000,15.3100,2
MAC005311,7.0000,4.6500,4
MAC005333,4.5000,12.6000,2
MAC005334,6.5000,1.8600,4
MAC005343,18.0000,8.9100,3
MAC005346,20.5000,36.2200,6
MAC005378,6.5000,24.9200,0
MAC005382,8.5000,25.3000,0
MAC005390,20.5000,3.1300,3
MAC005391,20.5000,6.8800,3
