ID,peak_hour,average_energy,Class
MAC000606,19.5000,10.7700,6
MAC000897,19.0000,5.6700,5
MAC001410,19.0000,13.3600,6
MAC001448,12.5000,6.4900,3
MAC001835,7.5000,16.0700,0
MAC001966,20.0000,22.7000,2
MAC002214,8.5000,12.6000,0
MAC002327,18.0000,15.4800,6
MAC002474,6.0000,4.0100,3
MAC002481,17.5000,12.6000,6
MAC002528,18.5000,3.1600,5
MAC002575,18.5000,7.4600,5
MAC002582,19.5000,9.9900,6
MAC002595,14.5000,8.8400,3
MAC002599,15.5000,13.6000,6
MAC002606,18.5000,8.8000,5
MAC002859,17.0000,14.8300,6
MAC002862,18.0000,19.1800,2
MAC003173,12.0000,14.0500,0
MAC003211,19.5000,16.2400,6
MAC003221,21.5000,6.2300,5
MAC003225,18.5000,12.9800,6
MAC003355,19.5000,20.3300,2
MAC003358,23.5000,8.0300,5
MAC003365,17.5000,5.2900,5
MAC003387,19.5000,3.3200,5
MAC003403,17.5000,5.8700,5
MAC003427,7.0000,16.3500,0
MAC003441,17.0000,16.4100,6
MAC003445,18.5000,36.0700,1
MAC003580,10.5000,5.9300,3
MAC003607,18.0000,24.1600,2
MAC003822,15.0000,6.9000,3
MAC003876,21.5000,22.8900,2
MAC003900,20.5000,12.4300,6
MAC003903,19.0000,34.5300,1
MAC003908,18.0000,6.1800,5
MAC004287,19.5000,13.8800,6
MAC004408,18.5000,9.9300,6
MAC004417,11.5000,7.1700,3
MAC004543,21.0000,22.8500,2
MAC004567,19.0000,11.0700,6
MAC004593,10.5000,72.8900,4
MAC004633,20.5000,10.3300,6
MAC004832,16.0000,11.0500,6
MAC004955,19.0000,10.7000,6
MAC004957,15.5000,2.8300,5
MAC005159,6.0000,17.7800,0
MAC005172,19.0000,8.2100,5
