ID,peak_hour,average_energy,Class
MAC000138,13.0000,9.7700,2
MAC000144,18.5000,6.7200,0
MAC000150,19.0000,9.7600,6
MAC000203,13.0000,6.6800,5
MAC000205,11.0000,12.0300,2
MAC000214,18.5000,6.7600,0
MAC000218,18.5000,16.2700,6
MAC000220,22.0000,4.2400,0
MAC000398,19.0000,14.7500,6
MAC003460,19.5000,8.9700,6
MAC003465,5.5000,3.5300,4
MAC003562,20.0000,6.3100,0
MAC003710,18.5000,7.5900,0
MAC003711,0.5000,17.1700,1
MAC004373,7.5000,6.9800,5
MAC004377,19.0000,5.6700,0
MAC004379,21.5000,10.7800,6
MAC004380,18.5000,10.0900,6
MAC004383,12.0000,9.8900,2
MAC004388,21.0000,4.0200,0
MAC004390,20.5000,14.4900,6
MAC004394,18.0000,5.8600,0
MAC004398,19.5000,4.4700,0
MAC004402,0.5000,5.1500,4
MAC004404,11.5000,6.7600,5
MAC004410,12.5000,15.6500,2
MAC004411,16.5000,42.0600,3
MAC004413,8.0000,2.8800,5
MAC004421,19.5000,3.2700,0
MAC004426,21.0000,4.5400,0
MAC004428,0.5000,18.5200,1
MAC004430,3.5000,1.1700,4
MAC004432,8.5000,6.6100,5
MAC004438,17.5000,11.4400,6
MAC004443,9.0000,11.6400,2
MAC004446,6.5000,42.7800,3
MAC004452,12.5000,6.0100,5
MAC004454,19.0000,3.3600,0
MAC004522,17.0000,6.6100,0
MAC004528,18.5000,8.1000,0
MAC004531,6.0000,7.8800,5
MAC004534,18.5000,4.5600,0
MAC004535,22.0000,3.0100,0
MAC004536,23.5000,5.8400,0
MAC004537,17.5000,11.6900,6
MAC004644,17.5000,5.3700,0
MAC004645,0.5000,5.0800,4
MAC004648,18.5000,4.5000,0
MAC004650,19.5000,3.5400,0
