ID,peak_hour,average_energy,Class
MAC000322,0.0000,5.4200,1
MAC000462,23.0000,12.8600,4
MAC000522,17.5000,23.7100,2
MAC000531,10.5000,2.6800,3
MAC000830,17.0000,26.1200,0
MAC000857,18.5000,3.8100,3
MAC000884,19.0000,20.1300,2
MAC000931,17.0000,4.8100,3
MAC000985,17.5000,87.8700,5
MAC001221,20.0000,15.4200,4
MAC001235,20.0000,19.8800,2
MAC001352,21.0000,11.4900,4
MAC001402,17.0000,7.7600,3
MAC001420,23.0000,11.6500,4
MAC001437,13.5000,4.5800,3
MAC001867,20.5000,9.2600,4
MAC001869,22.5000,10.0900,4
MAC002010,18.0000,6.4900,3
MAC002014,18.0000,5.1700,3
MAC002024,11.0000,23.4900,0
MAC002036,19.0000,4.0200,3
MAC002063,17.5000,6.5800,3
MAC002153,18.5000,22.9700,2
MAC002375,19.5000,6.9500,3
MAC002725,9.5000,17.8400,1
MAC002765,8.0000,32.7300,0
MAC002851,21.0000,20.9700,2
MAC002928,19.0000,10.1300,4
MAC002929,8.5000,12.8200,1
MAC002931,18.0000,4.7100,3
MAC003708,21.0000,17.6000,2
MAC004016,23.5000,42.9300,6
MAC004178,14.0000,18.4800,2
MAC004193,10.0000,22.3700,0
MAC004198,14.0000,47.3900,6
MAC004205,19.5000,16.8400,2
MAC004225,20.0000,31.7200,0
MAC004399,20.5000,6.6000,3
MAC004740,20.0000,7.7800,3
MAC004959,19.5000,11.9000,4
MAC005211,9.5000,12.0000,1
MAC005219,21.5000,5.7900,3
MAC005224,1.5000,13.3700,1
MAC005255,17.5000,18.7900,2
MAC005280,10.0000,12.6800,1
MAC005324,19.5000,14.7800,4
MAC005349,18.5000,4.3800,3
MAC005354,19.5000,22.5100,2
