ID,peak_hour,average_energy,Class
MAC000026,19.5000,15.7400,1
MAC000052,17.0000,7.5700,2
MAC000105,16.0000,76.3500,3
MAC000109,18.5000,7.4600,2
MAC000377,19.5000,6.0000,2
MAC000808,18.5000,21.5100,1
MAC000815,19.5000,10.5600,6
MAC000863,17.0000,34.2100,5
MAC000866,20.5000,15.9100,1
MAC000871,9.5000,3.6200,4
MAC000883,19.5000,21.6500,1
MAC000957,8.0000,25.0700,0
MAC001070,23.5000,9.0700,6
MAC001539,17.5000,13.3300,6
MAC001613,18.0000,24.7900,5
MAC001638,7.0000,9.4200,4
MAC001873,20.0000,13.7100,6
MAC001928,19.0000,10.1200,6
MAC002005,12.0000,12.2500,4
MAC002148,23.0000,21.5300,1
MAC002247,22.5000,12.2900,6
MAC002358,15.5000,10.6000,6
MAC002380,17.5000,26.8600,5
MAC002555,7.0000,6.5300,4
MAC003093,17.0000,8.2900,2
MAC003100,19.0000,18.5200,1
MAC003229,20.0000,13.2300,6
MAC003364,7.5000,27.7800,0
MAC004318,18.5000,6.0800,2
MAC004360,18.0000,8.3600,2
MAC004439,19.0000,16.9600,1
MAC004448,20.0000,7.5400,2
MAC004590,18.0000,11.6200,6
MAC004653,17.5000,9.6400,6
MAC004666,7.5000,22.5800,0
MAC004677,15.0000,3.6200,2
MAC004686,7.0000,6.0000,4
MAC004704,18.5000,8.5400,2
MAC004718,18.0000,29.4600,5
MAC004760,10.5000,1.5900,4
MAC004911,20.0000,12.4200,6
MAC004915,18.5000,1.8800,2
MAC004916,18.0000,5.3200,2
MAC004924,9.5000,6.6100,4
MAC004976,19.5000,20.8200,1
MAC004987,11.5000,17.5000,0
MAC005015,19.0000,13.3000,6
MAC005380,19.0000,6.6800,2
MAC005504,19.0000,10.0200,6
MAC005517,17.0000,3.2000,2
