ID,peak_hour,average_energy,Class
MAC000321,0.0000,59.5900,0
MAC000324,7.5000,0.5800,4
MAC000327,16.5000,22.1200,6
MAC000330,9.5000,6.2800,4
MAC000828,10.0000,29.1000,6
MAC000851,19.5000,15.5400,2
MAC000868,19.5000,7.4500,1
MAC000877,20.5000,8.4400,1
MAC000878,16.0000,11.0100,2
MAC000895,23.5000,1.4700,1
MAC000910,19.0000,7.7400,1
MAC000935,17.5000,2.8600,1
MAC000939,10.5000,11.6900,3
MAC000942,19.0000,11.7100,2
MAC000945,20.5000,6.1500,1
MAC000982,10.0000,10.1600,3
MAC000991,11.0000,4.9600,4
MAC000993,8.0000,12.3200,3
MAC001014,19.5000,58.4300,5
MAC001015,20.0000,4.1600,1
MAC001024,10.5000,3.2000,4
MAC001030,9.5000,1.8600,4
MAC001075,21.5000,3.9400,1
MAC001087,13.5000,9.4300,3
MAC001096,22.0000,5.0600,1
MAC001097,22.0000,6.9300,1
MAC001950,20.0000,9.2600,2
MAC001954,20.5000,9.2800,2
MAC001960,21.0000,6.2100,1
MAC001962,23.0000,7.4000,1
MAC001963,19.5000,6.7900,1
MAC001970,18.0000,12.3800,2
MAC001972,7.5000,3.4200,4
MAC001978,0.0000,39.3700,0
MAC001979,17.0000,8.9400,2
MAC001987,12.5000,18.9600,6
MAC001990,11.0000,4.6300,4
MAC002002,19.5000,51.5300,5
MAC002007,18.0000,20.3400,6
MAC002018,0.0000,7.2800,4
MAC002019,18.0000,9.5100,2
MAC002026,17.0000,7.0400,1
MAC002027,19.5000,12.6700,2
MAC002042,15.0000,19.5200,6
MAC002047,20.5000,7.1600,1
MAC002058,18.5000,3.4600,1
MAC002064,18.5000,21.4900,6
MAC002066,17.0000,6.3600,1
MAC002072,20.5000,4.0000,1
