ID,peak_hour,average_energy,Class
MAC000348,21.0000,5.0400,1
MAC000691,15.5000,4.8900,1
MAC000699,17.5000,5.5100,1
MAC000932,19.5000,10.9200,3
MAC001091,14.5000,10.9400,3
MAC001322,20.0000,7.8100,1
MAC001419,19.5000,8.1600,1
MAC001438,9.5000,7.4200,4
MAC001473,18.5000,8.8700,1
MAC001585,8.0000,7.1700,4
MAC002222,20.5000,12.6200,3
MAC002238,19.0000,10.7700,3
MAC002443,18.0000,34.1200,2
MAC002496,19.0000,11.1700,3
MAC002535,8.0000,20.7700,0
MAC002699,7.5000,7.4900,4
MAC002708,18.5000,9.3100,1
MAC002718,10.0000,13.2400,0
MAC003485,20.0000,9.2100,1
MAC003489,17.5000,6.1800,1
MAC003512,23.0000,8.1600,1
MAC003524,22.5000,12.8300,3
MAC003552,9.5000,6.7800,4
MAC003589,17.0000,16.7400,3
MAC003596,19.5000,16.5700,3
MAC003600,19.0000,4.8800,1
MAC003621,20.0000,17.3600,3
MAC003627,10.5000,16.5900,0
MAC003672,14.0000,6.9400,1
MAC003681,22.5000,8.6700,1
MAC003687,7.5000,12.4700,0
MAC003723,8.5000,16.2200,0
MAC003820,18.0000,30.6100,2
MAC003823,9.5000,12.4800,0
MAC004012,22.0000,4.5400,1
MAC004031,8.5000,6.3600,4
MAC004081,17.0000,7.7200,1
MAC004450,9.0000,4.1400,4
MAC004460,7.5000,11.5300,0
MAC004484,16.5000,35.4400,2
MAC004669,18.5000,7.7300,1
MAC004762,6.5000,3.1200,4
MAC004922,0.0000,17.7800,0
MAC005072,19.0000,10.3900,3
MAC005074,16.5000,10.0700,3
MAC005081,15.0000,13.0600,3
MAC005374,7.5000,4.4000,4
MAC005410,9.0000,7.5700,4
MAC005443,8.5000,8.5900,4
MAC005444,6.0000,3.0500,4
