ID,peak_hour,average_energy,Class
MAC000340,22.0000,8.3500,1
MAC000341,17.5000,10.7200,3
MAC000394,18.5000,11.2800,3
MAC000452,13.5000,26.2300,2
MAC000498,11.0000,13.3300,0
MAC000533,7.0000,7.4000,4
MAC000547,16.5000,29.4800,2
MAC000784,20.5000,21.2700,2
MAC000998,9.5000,5.3600,4
MAC001261,9.0000,3.0200,4
MAC001288,20.0000,11.8000,3
MAC001295,7.0000,12.3200,0
MAC001302,0.0000,5.1100,4
MAC001306,22.5000,12.9500,3
MAC001317,19.0000,5.9200,1
MAC001356,19.5000,4.2700,1
MAC001679,19.0000,8.4200,1
MAC001719,0.0000,10.0000,4
MAC001749,20.0000,13.1000,3
MAC002004,18.0000,20.2900,2
MAC002020,18.5000,9.5900,1
MAC002776,21.0000,12.2700,3
MAC002780,8.0000,13.9300,0
MAC003085,17.5000,14.7200,3
MAC003318,22.0000,15.7800,3
MAC003324,20.5000,15.0100,3
MAC003784,19.5000,19.8000,2
MAC003794,18.5000,18.3200,2
MAC003795,8.0000,6.5700,4
MAC003801,17.5000,13.5100,3
MAC003806,18.5000,8.1800,1
MAC003815,17.5000,9.1000,1
MAC003839,16.5000,12.4700,3
MAC003842,20.0000,14.8200,3
MAC003855,18.5000,12.4600,3
MAC003857,13.5000,4.3700,1
MAC003859,10.0000,14.4000,0
MAC003867,20.5000,24.0700,2
MAC003873,19.0000,13.3400,3
MAC003875,10.0000,15.7800,0
MAC003878,22.5000,12.6400,3
MAC003879,15.0000,12.1200,3
MAC003882,9.5000,4.3300,4
MAC003888,8.5000,9.4700,4
MAC003896,19.5000,11.9800,3
MAC003917,19.0000,16.7000,3
