ID,peak_hour,average_energy,Class
MAC000010,19.0000,26.6600,2
MAC000043,20.5000,3.3400,1
MAC000089,22.0000,7.8500,1
MAC000091,18.0000,6.7000,1
MAC000119,20.0000,20.8500,2
MAC000946,18.0000,10.1900,3
MAC000965,19.0000,9.3300,1
MAC001016,18.0000,10.9900,3
MAC001118,19.0000,9.8300,3
MAC001297,17.5000,6.2000,1
MAC001951,7.5000,17.4700,0
MAC002188,18.5000,9.5900,3
MAC002246,8.0000,15.2500,0
MAC002300,21.0000,10.8900,3
MAC003372,9.5000,10.5700,4
MAC003436,18.5000,11.9400,3
MAC003439,16.5000,8.9700,1
MAC003528,10.0000,8.9700,4
MAC003581,19.5000,16.0900,3
MAC003626,18.5000,7.7600,1
MAC003638,14.0000,10.1900,4
MAC003682,8.5000,23.1900,0
MAC003684,18.0000,8.5700,1
MAC003722,8.0000,6.2300,4
MAC003753,8.5000,14.9700,0
MAC003758,20.0000,34.5400,2
MAC003808,11.0000,10.1600,4
MAC003852,20.0000,16.8200,3
MAC003865,19.0000,2.9300,1
MAC003897,19.0000,7.9000,1
MAC003899,17.5000,12.0000,3
MAC003991,9.5000,13.1800,4
MAC004095,19.5000,7.1300,1
MAC004098,9.5000,4.2000,4
MAC004107,10.5000,23.4300,0
MAC004114,13.0000,9.4000,4
MAC004155,21.5000,9.2900,3
MAC004321,19.5000,11.0000,3
MAC004391,19.5000,16.6600,3
MAC004423,18.5000,7.6000,1
MAC004440,19.0000,5.2200,1
MAC004457,0.5000,9.3200,4
MAC004494,19.0000,12.7300,3
MAC004929,19.5000,14.2900,3
MAC004956,19.5000,11.0500,3
MAC005035,19.5000,13.0000,3
MAC005048,20.0000,9.9800,3
MAC005229,19.5000,6.0200,1
MAC005448,8.0000,6.5100,4
MAC005508,22.5000,12.9000,3
