ID,peak_hour,average_energy,Class
MAC000588,18.5000,10.0000,1
MAC000589,18.5000,7.2900,1
MAC000614,11.0000,13.0000,4
MAC000907,19.5000,13.0300,3
MAC001151,21.0000,8.5100,1
MAC001155,22.5000,6.5900,1
MAC001171,19.0000,14.7600,3
MAC001220,20.0000,16.3100,3
MAC002048,19.0000,12.0100,3
MAC002049,16.5000,12.8800,3
MAC002051,20.0000,27.0000,2
MAC002062,7.0000,16.2400,0
MAC002080,7.5000,16.9900,0
MAC002081,9.0000,8.0500,4
MAC002198,19.5000,7.2400,1
MAC002239,20.5000,8.4300,1
MAC002252,17.5000,14.4800,3
MAC002256,18.5000,10.8600,1
MAC002263,8.0000,12.2900,4
MAC002279,19.0000,9.4200,1
MAC002592,7.5000,12.6000,4
MAC003417,18.5000,17.8400,3
MAC003426,7.0000,22.8400,0
MAC003602,22.5000,13.8300,3
MAC003610,17.0000,20.4400,2
MAC003611,17.0000,9.6000,1
MAC003614,7.0000,13.2800,4
MAC003615,18.5000,15.3900,3
MAC003625,18.0000,8.3700,1
MAC003633,19.0000,18.5800,3
MAC003635,21.5000,2.1700,1
MAC003650,18.5000,16.6400,3
MAC003653,6.5000,15.9700,0
MAC003655,19.5000,20.7500,2
MAC003658,10.5000,11.5000,4
MAC003659,18.5000,8.6200,1
MAC003670,18.0000,7.7600,1
MAC003697,17.0000,22.5900,2
MAC003701,15.5000,4.6600,1
MAC003702,20.0000,9.3600,1
MAC003715,9.5000,11.1100,4
MAC003720,23.0000,10.7500,1
MAC003732,19.5000,25.3800,2
MAC003743,11.5000,8.2200,4
MAC003750,8.0000,13.9800,4
