ID,peak_hour,average_energy,Class
MAC000239,22.0000,7.9100,1
MAC000251,8.5000,9.8000,4
MAC000254,21.0000,12.3400,1
MAC000294,20.5000,13.5200,1
MAC000381,20.5000,17.5000,3
MAC000773,18.5000,6.3600,1
MAC000800,21.0000,8.5800,1
MAC000966,19.0000,28.4400,2
MAC000995,12.0000,20.5700,0
MAC001009,18.5000,30.6400,2
MAC001044,7.0000,23.1100,0
MAC001045,17.0000,5.8100,1
MAC002612,21.5000,12.3100,1
MAC002631,13.0000,5.8700,4
MAC002654,17.5000,6.9800,1
MAC002658,20.0000,9.4100,1
MAC002669,17.5000,14.8500,3
MAC002688,16.5000,16.4400,3
MAC002704,22.0000,11.6600,1
MAC002721,19.5000,9.5400,1
MAC002749,7.5000,12.2900,4
MAC002763,18.5000,18.6300,3
MAC002788,18.5000,6.4400,1
MAC002822,19.0000,4.6700,1
MAC002828,18.5000,10.6600,1
MAC002844,18.0000,23.8500,3
MAC002849,11.5000,39.2600,2
MAC003041,18.0000,6.2000,1
MAC003284,18.5000,7.3000,1
MAC003292,21.0000,21.4100,3
MAC003293,18.0000,17.2500,3
MAC003294,10.5000,15.0500,0
MAC003306,7.5000,6.0900,4
MAC003314,19.0000,9.3600,1
MAC003320,18.0000,19.4200,3
MAC003322,8.0000,18.2200,0
MAC003323,19.0000,19.5900,3
MAC003330,19.5000,18.7000,3
MAC003340,14.0000,11.0400,4
MAC003352,20.5000,36.9800,2
MAC003354,11.5000,21.7200,0
MAC003375,20.5000,10.5900,1
MAC003382,21.0000,4.8800,1
MAC003389,9.0000,12.9800,4
MAC003395,18.5000,8.1300,1
MAC003404,7.5000,6.3000,4
MAC003405,17.5000,4.9700,1
MAC003406,18.0000,12.8000,1
MAC003408,20.0000,21.4200,3
MAC003421,21.5000,9.1100,1
