ID,peak_hour,average_energy,Class
MAC000007,18.5000,9.7300,1
MAC000070,7.0000,4.2500,4
MAC000074,18.0000,14.8800,3
MAC000128,18.5000,5.8100,1
MAC000259,16.5000,11.3500,3
MAC000451,23.5000,20.8300,2
MAC000461,13.5000,21.1300,0
MAC000688,13.0000,7.2400,4
MAC001650,18.0000,11.0900,3
MAC002602,19.0000,6.0600,1
MAC002680,21.5000,10.1700,1
MAC002692,18.0000,8.6800,1
MAC002694,18.5000,14.5100,3
MAC002915,20.0000,14.8500,3
MAC002925,17.5000,9.7400,1
MAC002951,6.5000,1.5400,4
MAC003044,20.5000,7.6800,1
MAC003116,17.0000,8.7600,1
MAC003120,17.0000,12.0800,3
MAC003272,18.5000,23.2200,2
MAC004166,20.0000,5.3000,1
MAC004167,21.0000,10.6300,1
MAC004214,8.5000,20.3200,0
MAC004222,17.5000,14.7000,3
MAC004255,18.5000,12.9800,3
MAC004262,17.0000,8.4700,1
MAC004275,16.0000,14.3200,3
MAC004277,16.0000,9.7000,1
MAC004279,19.0000,9.2700,1
MAC004354,17.0000,4.8700,1
MAC004491,19.0000,11.4800,3
MAC004542,7.5000,3.0400,4
MAC004609,8.0000,2.8600,4
MAC004642,22.5000,6.0100,1
MAC004651,19.0000,13.5600,3
MAC004654,18.5000,17.2100,3
MAC004675,20.5000,11.8300,3
MAC004676,22.0000,14.9600,3
MAC004683,22.5000,7.5000,1
MAC004710,22.5000,10.6800,1
MAC004711,9.5000,17.2800,0
MAC004737,18.0000,5.5800,1
MAC004748,8.5000,9.1700,4
MAC004749,6.5000,10.4500,4
MAC004766,16.0000,11.8700,3
MAC005259,23.0000,32.8500,2
MAC005298,18.0000,8.1400,1
MAC005330,19.0000,8.8400,1
MAC005366,19.5000,15.0300,3
